;118
1half;1
1st;2
2---|;1
2-15;1
2/6;1
20%;1
203-258;1
204-219;1
205-210;1
207-416;1
20th;1
211-238;1
213-226;1
219-223;1
225-294;1
229-239;1
22d;1
23-47;1
23d;1
24--most;1
241-255;1
246-259;1
248-253;1
248-355;1
249-250;1
249-253;1
24th;1
25-27;1
25-72;1
251-297;1
252-255;1
253-270;1
255-259;1
25th;2
264-332;1
266-280;1
271-280;1
272-274;1
274-334;1
277-282;1
279-338;1
27th;1
280-292;1
280-318;1
281-295;1
283-298;1
285-315;1
288-314;1
29-31;2
294-315;1
295-311;1
3/9;1
30-32;1
301-811;1
304-329;1
305-308;1
306-308;1
308-339;1
31-38;1
31-52;1
318-380;1
31st;2
32-34;1
322-325;1
323-335;1
331-340;1
34-36;1
35-66;1
352-376;1
36-39;1
36-61;1
36-62;1
381-386;1
385-411;1
397-410;1
398-429;1
3d;4
3in;1
40-50;1
408-442;1
41-45;1
41-50;1
413-442;1
415-418;1
419-421;1
425-490;1
427-476;1
430-456;1
437-439;1
44-54;1
448-505;1
457-480;1
46-56;1
462-465;1
465-486;1
469-470;1
47-81;1
486-494;1
496-509;1
49th;1
4th;1
5-11;1
5-20;3
5-20s;4
5/;1
50-52;1
50-71;1
501-508;1
501c3;2
51-58;1
52-79;1
532-539;1
533-534;1
56-74;1
596-1887;1
5s;1
5th;1
6-8;2
6-9;1
60-72;1
60-73;1
60-79;1
600-625;1
602-634;1
62-69;1
633-635;1
64-6221541;1
64-70;1
64-80;1
66-92;1
69-74;1
6d;1
6th;3
70-108;1
70-83;1
71-80;1
719-750;1
75-105;1
767-768;1
77-88;1
78-161;1
7th;2
80-82;1
80-87;2
87-106;1
89-96;1
9-23;1
932-942;1
98-140;1
9th;1
<;8
>;1
>-------------/;1
\;40
\--------------------------------------------;1
\-------------------------------/;1
\1780;1
\constitutional;1
\inauguration;1
\origin;1
\territorial;1
\the;2
\under;1
a;2626
a-begging;1
a-mer-i-cus;1
aaron;2
abandon;2
abandoned;6
abandoning;2
abide;3
abilities;1
ability;3
able;6
able-bodied;1
abler;1
ablest;2
abode;2
abodes;1
abolish;15
abolished;16
abolishing;2
abolition;16
abolitionist;2
abolitionists;4
abolitionists1;1
abounded;2
about;102
above;14
abraham;10
abram;1
abridging;1
abroad;9
absence;1
absent;1
absolute;7
absolutely;3
absolved;1
absorbed;3
absurd;1
abundant;1
abuse;2
abused;4
abuses;2
abusing;2
abusive;2
acadia;15
accept;11
acceptance;5
accepted;26
accepting;2
accepts;1
access;10
accessed;1
accessible;1
accident;1
accommodate;2
accommodation;1
accompanied;3
accompanying;1
accomplices;1
accomplish;3
accomplished;5
accomplished1;1
accomplishing;1
accomplishment;1
accordance;10
according;15
accordingly;15
account;23
account1;1
accounts;6
accused;5
accustomed;3
acknowledge;2
acknowledged;9
acknowledges;1
acquire;2
acquired;17
acquiring;1
acquisition;5
acquitted;2
acre;7
acres;18
across;77
act;133
act%--the;2
act%--you;1
act1;1
acted;5
acting;5
action;13
actions;2
active;4
active1;1
actively;2
activity;1
actor;1
acts;49
acts%--carried;1
acts%--if;1
acts%--when;1
actual;11
actually;8
acute;1
ad;1
adams;66
adamss;8
adapted;2
add;2
added;15
adding;1
addition;2
additional;6
additions;3
address;18
addressed;2
addresses;3
adequate;2
adhere;1
adhered;1
adhesive;2
adjourn;4
adjourned;6
adjourning;1
adjutant;1
adlai;3
administration;17
administration%--the;1
admiral;10
admiralty;3
admission;28
admit;7
admittance;1
admitted;69
admitting;1
adopt;10
adopted;31
adopting;3
adoption;1
adulteration;1
advance;4
advanced;5
advancing;1
advantage;3
advantages;2
advent;1
adventure;1
adventurers;1
adventures;2
adventurous;1
advertise;1
advertised;1
advertisement;1
advertisements;7
advice;2
advisable;1
advise;2
advised;6
advisers;1
advocated;1
advocates;1
advocating;1
affair;10
affairs;30
affect;2
affected;5
affecting;2
affirmation;1
affirmative;1
affixed;1
afford;4
afforded;4
affront;1
afloat;2
aforesaid;1
afraid;5
africa;10
african;1
after;220
afternoon;3
afterwards;8
again;82
against;108
age;9
aged;2
agencies;1
agent;7
agents;7
ages;1
aggression;1
aggressive;2
aggressiveness;1
agitating;1
agitation;6
agitators;1
ago;2
agree;13
agreed;27
agreement;26
agreements;5
agreements%--meantime;1
agricultural;13
agriculture;8
aguinaldo;3
aguinaldos;1
ah-ma-ree-go;1
ahead;3
ahn-nah;1
aid;31
aided;6
aiding;1
aids;4
air;3
aix-la-chapelle;2
ak;1
ala;2
alabama;23
alarm;3
alarmed;12
alarming;1
alaska;9
albany;27
albany1;1
albemarle;2
albert;3
albion;3
alcoholic;2
aldermen;1
alexander;6
alexandria;8
alfred;2
algonquian;3
algonquin;1
algonquins;1
alias;2
alien;9
aliens;3
alike;3
alive;3
all;420
all-important;1
all-iron;1
allayed;1
alleghanies;3
alleghany;12
allegheny;18
allegheny%--this;1
allegiance;4
allen;4
alliance;26
alliance%--this;1
allies;8
allison;2
allow;10
allowed;32
allowed1;1
allows;1
alluding;1
alluring;1
almanac;2
almost;43
alone;12
along;100
alongshore;1
aloof;1
already;20
also;54
altamaha;3
alter;4
alteration;1
altered;1
alternate;1
alternative;1
although;10
alto;3
alton;2
alvin;2
always;21
am;2
amalgamation;1
amass;1
amazed;3
amazement;1
amazing;2
ambassador;2
ambition;1
ambulance;1
ambush;1
amend;1
amended;6
amending;1
amendment;30
amendment%--one;1
amendment%--this;1
amendment%--to;1
amendments;11
amendments%--of;1
amends;1
america;135
america%--but;1
america%--it;1
america%--the;1
america%--under;1
america%--with;1
america%2--columbus;1
america--indeed;1
america1;1
american;115
american-made;1
americans;54
americans%--neither;1
americans1;1
americas;1
americus;4
amerigo;2
amherst;2
amid;2
amidst;1
amity;2
ammunition;5
amnesty;11
amnesty%--in;1
among;38
amos;6
amount;12
amounted;8
amounting;3
amounts;1
ample;2
ampudia;1
amsterdam;8
amused;1
amusing;1
an;313
anaesthesia;3
anaesthesia%--but;1
anarchist;1
anarchy;1
ancestor;1
ancestors;2
anchor;4
ancient;2
and;5459
anderson;9
andirons;1
andre;4
andrew;12
andrewss;1
anew;3
angel;1
anger;2
angry;8
animal;1
animals;2
animated;1
animosities;1
ann;3
anna;4
annals;1
annapolis;21
anne;5
annes;5
annex;2
annexation;15
annexed;13
annexed%--but;1
annihilated;1
annihilation;1
anniversaries;1
anniversary;1
announce;2
announced;11
annoy;1
annoying;1
annual;14
annually;6
annulled;2
annuls;1
annum;1
another2;1
anson;2
answer;11
answered;7
answers;3
antarctic;1
anthony;4
anthracite;4
anti-caucus;1
anti-chinese;4
anti-contract;1
anti-contract-labor;1
anti-extension-of-slavery;2
anti-federalist;1
anti-federalists;2
anti-french;1
anti-fusionists;1
anti-imperialist;1
anti-monopolists;1
anti-monopoly;3
anti-nebraska;3
anti-tariff;1
antietam;6
antimason;1
antimasonic;5
antimasons;3
antimasons%--but;1
antiquarian;1
antislavery;26
anxiety;1
anxious;2
any;194
anywhere;8
apalachee;1
apalachicola;1
apart;7
apiece;2
apologize;1
apparent;6
apparently;1
appeal;6
appealed;2
appear;7
appearance;11
appeared;11
appearing;2
appears;2
appendix;5
appliances;3
applicable;4
application;3
applications;1
applied;13
applies;2
apply;4
appoint;8
appointed;20
appointment;1
appointments;3
appoints;1
appomattox;2
apportion;1
apportioned;2
apportioning;1
appreciated;1
apprentice;3
apprentices;1
approach;3
approached;3
appropriated;1
appropriating;1
appropriation;1
appropriations;3
approval;4
approve;3
approved;19
approves;1
april;55
april1;1
apt;1
aqueducts;1
arabs;1
arbitration;7
arbitrators;1
arc;1
arch;3
archbishop;2
archive;13
archives;1
ardent;1
are;123
area;14
areas;2
argall;3
argument;2
arguments;1
argus;2
arid;3
arise;2
arisen;2
arises;1
arising;3
aristocratic;4
arizona;9
ark;2
arkansas;24
arkansas%--in;1
arm;1
armed;16
armies;17
arming;1
armistice;1
armory;1
arms;24
arms%--lincoln;1
arms1;1
army;150
army%--after;1
army1;1
arnold;15
arnold%--the;1
arnolds;1
arose;17
around;29
arouse;2
aroused;14
arousing;1
arrange;2
arranged;5
arrangement;1
arrangements;2
array;3
arrest;3
arrested;3
arrests;1
arrival;6
arrive;2
arrived;9
arriving;1
arrow;1
arrowheads;1
arrows;2
arsenal;1
arthur;7
article;4
articles;39
artillery;1
artisans;1
artist;1
arts;4
as;784
as-is;1
ascended;1
ascent;1
ascertain;1
ascii;4
ashburton;2
ashore;3
asia;11
asia1;1
asiatics;1
aside;5
ask;1
asked;34
asking;2
asphalted;1
aspiring;1
assassin;1
assassinated;1
assassinated%;1
assassinates;1
assaulted;1
assaults;1
assemble;3
assembled;12
assemblies;3
assembling;1
assembly;8
assembly1;1
assent;4
assert;1
asserted;8
asserting;1
asserts;1
assessed;1
assessors;1
assigned;3
assist;2
assistance;1
associate;2
associated;10
association;6
associations;1
assume;3
assumed;4
assuming;2
assumption;7
assured;2
astir;1
astonished;1
astonishing;8
astor;2
astoria;4
asylum;2
asylums;1
at;837
atalanta;1
atchison;4
atchison2;1
ate;1
atlanta;9
atlantic;50
atlantic2;1
attached;6
attack;44
attacked;46
attacked%--once;1
attacking;5
attacks;9
attained;2
attempt;43
attempted;24
attempted%--the;1
attempting;6
attempts;11
attend;4
attendance;2
attended;2
attending;1
attention;17
attitude;7
attorney-general;4
attracted;4
attractive;1
attributed;1
auburn;2
auction;2
august;34
augustine;6
augustine%--st;1
augustine2;1
aurania;3
austin;4
australia;1
austria;2
austrian;1
author;2
authorities;4
authority;14
authorize;1
authorized;13
authorizing;1
autumn;10
available;4
avenue;1
average;1
avoid;4
awaited;1
award;1
award%--the;1
awarded;1
awards;1
aware;6
away;52
away--you;1
awful;2
ax;3
axes;2
ayres;1
aztecs;1
b;36
bach;5
back;112
backs;2
backward;1
bad;11
bade;5
badge;2
badly;2
bag;4
baggage;3
bags;1
bahama;1
bahamas;2
bahamas2;1
bahia;1
bail;1
bairds;1
baked;1
baker;2
balboa;6
balcony;1
bales;3
ball;1
ballot;4
balls;1
baltimore;50
baltimores;1
bancroft;1
bancrofts;4
band;22
bandits;1
bands;10
bank;79
bank%--the;1
bank%--this;1
bankers;1
banking;4
bankrupt1;1
banks;83
banks%--as;1
banks%--had;1
banner;3
banners;1
bannock;2
bar;1
barbados;3
barbarians;1
barbed;1
barbed-wire;1
bare;1
bargain;4
bark;7
barn;2
barns;1
baron;2
barracks;1
barre;1
barrel;2
barrels;6
barren;2
barrier;1
barron;2
barrowss;1
barry;8
bartholomew;1
base;3
based;8
basin;4
basin%--the;1
basis;4
bastile;1
batavia;1
batches;1
bathing;1
bathrooms;1
baton;4
batteries;3
battering;1
battle;143
battle-scarred;1
battlefield;2
battles;31
battleship;1
bay;66
bay2;1
bays;4
be;710
beach;1
beacons;1
bead;1
beads;1
beams;1
bean;2
beans;1
bear;10
beard;1
beardless;1
bearer;1
bearing;6
bears;7
beat;9
beaten;14
beating;2
beaufort;2
beauregard;5
beautiful;4
beautifully;1
became;118
because;81
become;41
becomes;13
becoming;7
bed;2
bedding;1
beds;4
beecher;1
been;294
before;132
beg;1
began;165
begged;2
begin;11
beginners;7
beginning;21
beginnings;10
begins%--one;1
begins%--when;1
begun;25
begun%--a;1
begun%--in;1
behalf;3
behavior;1
beheaded;3
beheld;2
behind;14
being;27
beings;1
belched;1
belgium;1
belief;8
beliefs;1
believe;4
believed;19
believing;2
bell;8
belligerent;2
bellows;1
bells;2
belmont;4
belong;2
belonged;16
belonging;1
belongs;1
below;15
belpre;3
belt;3
belt%--in;1
bemis;2
bemoaned;1
bend;1
bends;1
beneath;3
benedict;4
benefit;4
benefited;3
benevolent;1
benjamin;17
bennington;2
benton;8
bents;2
bequeathed;1
berceau;2
bering;1
berkeley;4
berlin;8
bermuda;2
beset;4
beside;5
besides;10
besiege;2
besieged;8
besieging;1
bessemer;1
best;16
bestow;1
better;29
between;152
beverage;1
beverages;1
beware;1
beyond;13
bible;2
bibliographies;1
bibliography;1
bicycle;3
bid;1
bidden;1
bidder;1
bidding;1
bidwell;2
biennially;1
bienville;3
big;4
bill;76
bill%--each;1
bill%--in;1
bill%--pierce;1
bill%--the;1
bills;24
billy;1
biloxi;3
bimetallic;4
bimetallism;2
binary;1
bind;2
binder;1
bio;2
biographies;1
birch;2
birch-bark;2
birds;2
birmingham;1
birney;11
birth;3
birthplace;1
biscay;1
bishop;1
bishops;1
bismarck;1
bit;1
bits;1
bitter;9
bitterly;3
bitterness;1
bj;1
black;17
black-walnut;1
blacks;1
blacksmith;3
bladensburg;2
blaine;3
blair;2
blame;2
bland;2
bland-allison;3
blanket;1
blankets;1
blasting;1
blessings;1
blew;1
blind;1
blinding;1
block;2
blockade;26
blockade1;1
blockaded;17
blockades;1
blockading;2
blocked;1
blocking;1
blocks;2
blood;2
bloodshed;1
bloody;4
bloody-backs;1
bloomington;1
blotting;1
blow;4
blown;2
blue;12
bluff;1
bluffs;4
bo-ruh-gar;1
board;17
boarded;4
boarders;1
boarding;2
boards;1
boasted;2
boat;13
boat-shaped;1
boat1;1
boatload;1
boats;16
bodies;5
body;26
body%--the;1
boeuf;4
bogus;1
boiling;1
bois;5
bois%--there;1
boise;2
boisterous;1
bold;3
boldest;2
boldly;4
boldness;1
bolt;1
bolters;1
bolts;1
bombarded;5
bombardment;2
bond;7
bonded;7
bonding;1
bonds;50
bonds1;1
bones;1
bonhomme;3
bonnets;2
bonneville;1
bonneville1;1
book;9
bookkeeper;1
books;4
bookstore;1
boom;2
boomers;1
booming;1
boone;2
boonesboro;2
boot;1
booth;4
boots;3
bordentown;4
border;10
bordering;1
borders;4
bore;5
borgne;1
born;12
borne;3
borough;1
boroughs;1
borrow;4
borrowed;4
borrowing;3
boscawen;2
bosom;1
boston;88
boston3;1
both;68
bottom;4
bought;27
bound;22
boundaries;13
boundary;75
bounded;1
boundless;2
bounds;8
bounties;3
bountiful;1
bounty;1
bournes;1
bow;1
bowlder;1
bowls;1
bows;3
box;4
boxed;2
boxer;3
boxers;3
boxes;4
boy;4
boycotting;1
boycotts;1
boys;8
braddock;5
braddocks;2
bradford;3
bradstreet;2
bragg;12
braggs;1
brake;2
brakeman;1
branch;6
branches;18
branded;2
branding;1
brandy;2
brandywine;3
brass;6
brass-nail-studded;1
brave;1
bravery;2
brazil;9
brazilian;1
brazos;1
breach;2
bread;4
break;5
breakdowns;1
breakfast;2
breaking;6
breakneck;1
breast;1
breastwork;1
breastworks;1
breckinridge;5
bred;1
breeches;1
breeding;1
breeds;3
breeze;3
brest;3
brethren;2
breton;7
brewing;1
brewster;3
brick;2
brick-making;1
bricks;3
bridge;2
bridges;7
briefly;1
brig;1
brigham;2
bright;2
brightly;1
brigs;1
brilliant;3
bring;25
bringer;1
bringing;3
brings;3
brisk;1
bristol;2
britain;91
britain%;1
british;168
british-american;1
broad;2
broad-minded;1
broadcast;2
broadhorns;1
broadside;1
broadway;1
broke;6
broken;7
broken-hearted;1
brooklyn;3
broom;3
brooms;3
brother;2
brought;61
brown;11
brownists;2
browns;3
brunswick;7
brush;3
brushes;1
bryan;8
buchanan;10
buchanans;2
bucket;3
buckets;3
buckner;4
buell;6
buells;1
buena;3
buenos;1
buffalo;17
buffalo-skin;1
buffaloes;2
bugle;1
build;19
building;24
buildings;8
built;81
bulky;1
bull;7
bullet-proof;1
bulletin;1
bullets;1
bullion;7
bullocks;3
bulwarks;1
bundles;1
bunker;12
bunting;1
burden;2
burdened;1
bureau;8
bureaus;2
buren;22
burgesses;4
burgoyne;10
burgoyne%--when;1
burgoynes;1
buried;8
burke;2
burlingame;2
burlington;4
burn;4
burned;40
burning;11
burnside;6
burr;5
bury;1
bushels;1
bushes;4
business;55
business@pglaforg;1
busy;3
but;658
butcher;1
butler;11
butterfield;2
buttoned;1
buy;37
buyers;1
buying;5
buys;1
buzzards;1
bwa-nah;1
by;1091
c;31
ca-na;1
cab;1
cab-ot;1
cabal;2
cabeza;3
cabin;16
cabin%--in;1
cabin--;1
cabin1;1
cabinet;9
cabinet%--it;1
cabins;9
cable;11
cable%--but;1
cable-car;1
cables;1
cabot;4
cabots;4
cabral;5
cah-ve-ta;1
cal;1
calculate;1
calculated;1
calendar;3
calhoun;20
calhoun%--calhoun;1
calico;1
california;48
california%--one;1
california%--while;1
californians;1
call;43
called;225
called%--when;1
called--led;1
called1774;1
calling;7
calls;1
calmed;1
calvert;2
calverts;1
cambridge;6
camden;4
camden3;1
came;171
camp;12
camp--the;1
campaign;41
campaign%--the;1
campaigns;13
camped;1
camps;1
can;37
canada;40
canadian;6
canadians;5
canal;46
canal%--a;1
canal%--in;1
canal%--the;1
canals;18
canals%--grants;1
canaries;1
canary;2
cancel;1
canceled;3
canceling;2
candid;1
candidate;22
candidates;24
candidates%--when;1
candle;1
candles;1
caney;2
canned;1
cannon;10
cannot;13
canoes;7
canonchet;2
canso;4
canvas;2
canvas-covered;1
canvasser;1
cap;1
cape;33
capital;17
capital%--funding;1
capital%--in;1
