10001;11105;10981;10779;11592;11162;10754;10786;11095;10987;10654;10757;10630;10348;10529;10530;10499;10528;10983;11472;10652;10498;10650;10527;10503;10759;10310;10989;10931;11098;10524;10488;10497;10469;10526;10470;10486;10501;10487;10525;10646;10500;10618;10796;10569;10645;10557;11474;10504;10651;11149;10653;
10002;10728;11438;10050;10337;11140;10542;10436;10051;10777;10849;10897;10049;11027;10142;10690;10081;11213;10466;11171;10052;10464;10101;10948;11377;10368;10584;10832;10771;10776;10463;11582;10576;11469;11337;11097;10880;11319;11499;10579;11470;10888;11521;10698;11635;10048;11127;10029;10537;10022;10812;10093;
10003;10728;10368;10436;10142;10537;11174;11363;10466;11270;11319;11063;10049;10948;11213;11140;11111;10724;10464;10729;11237;11053;10029;11470;11493;11120;11595;10050;10337;10022;10880;11027;10052;10777;10123;11521;11469;11290;10398;10690;11022;11086;10431;10584;11585;10831;11371;10603;11153;10576;11635;11127;
10004;10853;10368;10916;11053;10728;11174;11270;11237;11319;10050;11056;10436;11022;11595;10464;10537;11435;10142;10325;10051;10831;11521;11509;11012;11120;10837;10395;11363;11582;11027;11311;11585;10948;10022;11536;10159;10049;10859;10460;10376;10398;11345;10437;10732;11063;11290;10431;11608;10063;11381;11213;
10005;10368;11270;11253;10729;11319;10859;11585;10142;11111;10537;11308;11063;11174;11237;11506;11290;10794;10831;11521;11337;10401;11311;11595;10454;10948;11012;11427;10724;10318;10853;10464;11339;11053;10585;10584;11239;10123;11363;11435;11027;11056;11371;10431;10728;11509;11022;10029;10698;10024;11249;11493;
10006;11148;10994;10050;11241;10976;10618;11099;11105;11563;11129;11592;11149;11107;10786;11345;11333;11033;10989;10830;10779;10987;10849;10888;10566;10981;10789;11477;10393;10767;11268;11147;10791;11186;11479;10565;10785;11190;10630;11121;11083;11189;11181;11007;10915;10571;11472;10792;10796;10771;11475;10788;
10008;10584;11311;10698;10537;10576;11337;10142;10081;10728;11469;11063;10211;10948;10729;10579;10045;10776;10086;10123;10862;10869;10029;10368;10319;11111;10267;10323;10109;11493;11027;10324;10936;11051;10585;10659;10891;11319;11470;10052;11339;10436;10051;10124;11585;11513;10093;10542;10376;11110;10601;10432;
10009;11311;10142;10728;11585;10698;10576;10584;10368;10537;11237;11337;10729;11319;10948;11027;10891;11595;11339;11469;10436;11111;11063;10794;11435;10093;11053;10431;10211;10123;11308;10051;11509;11174;10376;11270;10124;11547;11022;10052;11470;11012;11110;10267;10464;11506;11140;10585;10086;10323;11582;11166;
10010;10618;11148;10994;10989;11149;10983;11099;10981;11241;10987;10630;10976;11105;11345;10779;10796;11083;11592;10566;11477;10830;11033;10931;10786;11268;11472;10757;11186;10791;10529;10310;10789;11162;10528;10530;11189;11335;11095;10568;10488;10499;10754;11473;10759;10652;10654;10497;10469;10737;10498;10527;
10011;10499;10310;10524;10488;10486;10487;10535;10757;10759;10525;10645;10527;10498;10500;10754;10470;10650;10654;10742;10651;10526;10528;10529;10530;10501;10503;10497;10469;10652;10505;10557;10348;10504;10646;10758;10653;11073;10737;11095;11162;10749;10931;10983;11098;10979;10981;10965;10779;11105;10987;11592;
10012;11311;10584;11585;10576;10142;10698;11337;10891;10728;10376;10537;11547;11308;10368;11145;10859;11237;11319;10794;11027;10659;10431;10101;10729;11086;10093;11435;11509;11595;10123;11012;11517;10688;11110;10211;11469;11028;10051;10002;10862;10124;10776;11506;10848;10086;10542;11063;10436;11249;11377;10948;
10013;11148;11099;10976;10849;11129;10393;10994;11241;11105;11171;10786;10566;10839;10788;11007;11563;11345;10830;11181;11472;11477;10789;10571;10785;10220;10569;11069;11183;10561;10329;11479;11190;10075;11471;11187;10572;11476;10565;11121;10790;11333;11475;11185;10618;11033;11260;10783;10564;11474;10791;11213;
10014;10849;11129;10976;11148;11069;10220;10690;11171;10393;11099;11007;11333;11150;10888;11213;10050;10994;11140;10541;11260;10329;11105;10728;11345;10771;11120;11241;11374;11563;10566;10075;11121;10777;11315;10561;10902;11190;10022;10571;10466;11185;11097;11479;10786;11218;10436;11183;10464;11107;10782;10785;
